lemma1,lemma2,freq
virus,verspreiden,2
kind,worden,26
mens,krijgen,77
virus,krijgen,3
die,worden,105
last,hebben,274
Kind,overlijden,1
je,bedenken,184
miljoen,wonen,23
mens,wonen,269
het,doorgeven,2
groot,stad,158
tak,komen,3
vrouw,zitten,14
ze,dragen,126
jurk,dragen,22
zwart,jurk,3
pukkel,zitten,1
Lien,vinden,1
haar,vinden,87
oog,kijken,35
u,doen,75
het,doen,1190
Sam,roepen,7
’,vragen,1182
vrouw,vragen,17
we,zien,290
peer,zien,2
Lien,zeggen,5
houten,bank,8
Kim,kniken,4
ik,helpen,180
Koen,helpen,2
Bas,schriken,3
Kim,zeggen,40
wedstrijd,beginnen,26
’,steunen,1
Bas,steunen,1
we,zijn,559
horoscop,worden,2
jullie,gaan,252
dagelijks,ding,2
we,schrijven,29
horoscoop,schrijven,1
sterrenbeeld,kiesen,1
jullie,kiezen,16
sterrenbeeld,kiezen,1
verschillend,sterrenbeeld,1
zinn,zijn,31
Fries,handel,1
goed,handelaar,3
Romeins,tijd,30
ze,durven,61
Noordzee,invaren,1
ze,blijven,273
handelaar,blijven,1
Fries,onderwerpen,1
belangrijk,handelaar,1
ze,hebben,1958
munt,hebben,16
eigen,munt,5
Fries,munt,2
die,vinden,289
terug-,vinden,1
belangrijk,vestigingsplaatsen,1
Fries,handelaar,1
stof,maken,6
bronzen,ketel,1
eind,komen,15
hij,vangen,26
bal,vangen,10
prachtig,gezicht,3
Daan,zeggen,41
hij,kijken,621
dat,doen,1442
hij,doen,935
bal,vliegen,21
rood,bal,1
bal,komen,23
hij,springen,92
Daan,krijgen,1
lach,krijgen,37
slappe,lach,33
we,worden,69
goed,clowns,1
Pien,lachen,2
Daan,slaan,1
wat,zien,618
je,zien,3624
wat,maken,183
dit,maken,34
zin,Lees,184
rond,Zet,200
goed,woord,365
schuingedrukt,woord,27
vraag,Maak,167
bosbouwer,werken,1
zij,kappen,1
boom,kappen,28
tropisch,boom,2
kozijan,maken,1
tropisch,hardhout,9
delfstof,zitten,5
dit,kunnen,209
ik,kunnen,675
afding,grappig,1
hij,komen,647
tekening,overmaken,1
die,verknoeien,1
hij,wonden,1
ik,vergisen,12
stokbrood,haal,1
teen,haal,1
eetlepel,haal,1
klein,stokbrood,1
zacht,boter,1
basilicum,gehakt,1
oven,gehakt,1
stokbrood,snijden,1
ik,draagen,4
vogel,draagen,1
ik,graven,5
gat,graven,2
doos,Leg,1
ik,maken,548
gat,maken,12
bloem,zoeken,1
ik,vinden,1719
paardenbloem,vinden,1
wat,gebeuren,961
ik,horen,712
dooi,worden,1
het,staan,162
kruis,Zet,369
goed,antwoord,500
Franse,uitbreken,1
Romeins,verovering,1
die,lezen,70
je,lezen,699
idee,onderdoen,1
ik,kijken,436
hem,kijken,98
hij,zien,1036
uitdrukking,zien,5
moment,zijn,2
hij,uitzoeken,4
ik,begrijpen,235
het,begrijpen,147
smaragd,denken,1
we,laten,432
ze,zijn,713
ze,verwachten,34
ruzie,maken,94
jongen,zeggen,58
ander,jongen,59
die,kopen,40
hij,heten,103
Bakkial,heten,1
we,proberen,50
dat,houden,56
ik,hopen,325
we,krijgen,235
meester,krijgen,10
goed,meester,5
één,zeggen,45
groot,tiener,1
lang,tiener,1
sterk,tiener,1
loods,zijn,1
die,maken,457
tang,maken,1
ander,gereedschap,2
leuk,smid,1
die,zingen,18
hij,slaan,97
stem,slaan,4
je,horen,518
hem,horen,41
lang,loods,1
smal,loods,1
die,hebben,719
ruimte,hebben,43
touw,spannen,1
ze,vlechten,4
ze,worden,319
je,krijgen,877
beeldhouwer,krijgen,1
’,krijgen,15
got,maken,1
het,geven,159
hij,denken,435
ik,opnoemen,1
álles,opnoemen,1
ik,vertellen,347
iets,vertellen,167
korting,krijgen,14
nieuw,prijs,10
meester,stappen,1
kind,verwachten,4
hij,zijn,650
ze,weten,501
weektaak,geven,1
wat,doen,2906
ze,doen,1123
níénen,doen,1
straf,krijgen,81
hij,zet,98
je,zet,111
veel,helpen,6
het,helpen,53
het,blijven,193
Wouter,zijn,4
geloei,klinken,2
brul,volgen,1
die,krijgen,177
werkwoord,krijgen,4
werkwoord,lezen,3
vorm,lezen,3
werkwoord,raden,5
raad,raadt,5
iemand,vragen,39
je,vragen,191
zijn,schrijven,1
jij,Schrijf,10
wat,Schrijf,8
groot,demonstratie,3
tienduizend,gaan,1
Duits,stad,8
zeldzaam,kever,1
gebouw,neerzetten,3
nieuw,gebouw,13
bos,kappen,15
juchtleerkever,leven,1
hol,boom,10
die,kpen,3
kever,uitsterven,1
dier,houden,36
heel,leven,61
die,kappen,3
rolerkooster,dzjokkie,1
je,gaan,1937
verhaal,lezen,58
je,maken,1177
vraag,maken,57
goed,volgorde,194
kinder,brengen,1
die,uithalen,3
rottigheid,uithalen,2
dat,komen,612
nieuw,wet,28
het,komen,361
kind,uithalen,3
ze,vernielen,9
ding,vernielen,1
